Genera;Species;Autor;Department;Province;Municipal;Location;Year;Colector;Collection;Latitude;Longitude;Lat;Long;High;Fount_Geo;Ecoregion;SubEco;References
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);La Paz;Abel Iturralde;San Buenaaventura;Tumupasa;1922;W.M. Mann;;-14.1527035;-67.8977206;"14°9'9.73""S";"67°53'51.79""W";598;Geo;Sudoeste de la Amazonía;BASu;Schwarz, 1948
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Beni ;General José Ballivian;Reyes;Mision Cavinas;1922;W.M. Mann;;-12.5607398;-66.9037799;"12°33'38.66""S";"66°54'13.6""W";158;Geo;Sudoeste de la Amazonía;BAIn;Schwarz, 1948
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Beni ;Vaca Díez;Riberalta;Santa Rosa del Ivon;1922;W.M. Mann;;-11.2296214;-66.1357695;"11°13'46.63""S";"66°8'8.77""W";150;Geo;Sudoeste de la Amazonía;BAPa;Schwarz, 1948
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);La Paz;Larecaja;Teoponte;Uyapi;;;;-15.4166647;-67.7666545;"15°24'59.99""S";"67°45'59.95""W";1158;Original;Yungas;YUN;GBIF
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Beni ;Yacuma;Santa Ana;Beni Biological Station, approx 40 km NE of San Borja, Palm Camp;1988;;Snow Entomological Museum Collection;-14.6399064;-66.3005342;"14°38'23.66""S";"66°18'1.92""W";180;Original;Sudoeste de la Amazonía;BAPr;GBIF
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);La Paz;Abel Iturralde;Ixiamas;Santa Fe;2005;;;-13.768211;-68.1272856;"13°46'5.55""S";"68°7'38.22""W";262;Geo;Cerrado;CePac;Tejada, 2006
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);La Paz;Abel Iturralde;Ixiamas;Santa Pedro;2005;;;-13.7318369;-68.0084428;"13°43'54.61""S";"68°0'30.39""W";237;Geo;Cerrado;CePac;Tejada, 2006
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Beni ;Cercado;San Javier;Sirionó (Ibiato y Pata de Águila);2018;Townsend;;-14.8302131;-64.4495717;"14°49'48.76""S";"64°26'58.45""W";167;Geo;Sabanas Inundables;SILM;Townsend et al., 2021
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Santa Cruz;Ñuflo de Chávez;Concepción;Lomerío (San Antonio de Lomerio);2018;Townsend;;-16.7682967;-61.8102462;"16°46'5.86""S";"61°48'36.88""W";395;Geo;Cerrado;CeChi;Townsend et al., 2021
Cephalotrigona ;Cephalotrigona capitata ;(Smith, 1854);Cochabamba;Carrasco;Chimore;Rio Chimore (Miison Francisca del Colegio Apostólico de Tarata);1900;Wolfgang Priewasser;;-16.993072;-65.1504048;"16°59'35.05""S";"65°9'1.45""W";243;Geo;Sudoeste de la Amazonía;BAPr;Schwarz, 1948
